Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
5,Cleveland Cavaliers,2006,7,17,20,17,14,12,9,23,24,25,5,9,5,21,11,9,4,24,18,15,9,6,15,8,17,17,18,9,9,14,17,16,17,5,6,13,2,13,6,15,7,9,27,19,10,6,6,7,7,8,19,8,9,14,18,7,9,12,10,10,7,14,27,4,5,Gund Arena,5
6,Los Angeles Clippers,2006,7,24,8,15,6,30,29,21,2,1,10,8,19,2,26,1,1,14,24,1,15,15,16,5,12,25,4,15,20,5,11,22,5,14,16,3,6,16,8,21,10,7,30,24,11,9,9,10,10,11,5,9,18,8,10,17,29,16,16,25,7,5,30,3,11,STAPLES Center,13
7,San Antonio Spurs,2006,7,24,8,20,3,10,16,2,15,23,3,29,28,28,22,7,12,10,23,5,7,4,20,5,6,11,3,1,1,3,15,29,3,2,3,11,11,13,10,1,18,5,22,28,2,2,2,1,1,1,23,1,10,1,23,27,15,3,13,20,29,1,18,8,4,SBC Center,8
8,New Jersey Nets,2006,5,27,27,23,26,16,11,28,27,27,19,12,12,9,27,8,17,4,19,27,5,19,24,4,3,3,7,13,15,6,3,5,10,19,20,12,1,27,19,11,15,4,14,14,6,7,7,12,12,13,26,13,25,3,18,11,8,25,10,29,10,9,9,2,25,Continental Airlines Arena,19
9,Los Angeles Lakers,2006,3,13,8,9,18,8,5,17,19,21,8,17,15,15,10,10,6,9,5,19,9,18,7,15,15,23,12,15,17,11,14,19,12,13,13,19,13,9,8,17,4,7,18,7,15,10,10,7,7,7,15,7,8,15,15,18,7,10,8,8,19,12,20,9,13,STAPLES Center,7
10,Washington Wizards,2006,2,17,12,7,21,12,15,15,14,11,22,1,2,12,3,24,15,25,3,22,9,12,3,8,20,17,23,20,21,20,19,11,23,19,18,16,21,19,24,21,4,5,2,3,21,13,13,10,10,10,29,12,6,22,7,3,16,21,4,6,4,23,2,26,18,MCI Center,15
11,Sacramento Kings,2006,2,17,15,13,14,15,13,16,18,17,10,7,15,5,22,13,18,5,8,26,19,2,10,8,22,28,14,9,14,7,24,26,16,2,2,19,19,22,25,17,26,15,11,14,17,11,11,12,12,12,12,11,11,11,9,16,14,12,18,25,10,13,14,17,3,ARCO Arena (II),14
12,Chicago Bulls,2006,2,5,6,4,22,6,8,5,19,13,25,25,25,17,14,4,3,6,30,21,24,28,13,23,5,21,1,20,24,7,4,9,1,30,28,30,9,25,22,13,23,23,6,14,16,14,14,14,14,14,22,14,23,7,5,29,13,16,18,19,26,2,11,5,29,United Center,2
13,Indiana Pacers,2006,2,29,25,24,24,9,7,17,28,29,16,19,18,19,14,6,6,19,10,12,26,9,23,1,8,20,4,3,3,4,13,27,4,8,9,5,21,13,19,4,27,15,24,23,5,14,14,9,9,9,27,10,21,3,20,12,4,16,27,12,15,2,25,15,8,Conseco Fieldhouse,24
14,Denver Nuggets,2006,1,3,2,6,8,24,22,30,1,2,5,6,7,16,14,10,14,3,2,7,23,13,5,27,24,29,14,26,28,17,21,23,18,11,11,6,21,18,23,29,13,25,3,10,23,11,11,15,15,15,8,15,17,13,2,10,23,15,14,16,12,20,3,20,6,Pepsi Center,16
15,Milwaukee Bucks,2006,1,13,12,10,18,11,17,4,15,14,19,22,20,17,12,14,15,7,10,28,19,19,13,15,18,9,24,17,22,13,15,7,26,21,21,19,3,19,10,25,22,21,14,5,19,17,17,16,16,16,16,16,13,23,13,20,18,12,16,11,22,23,12,6,21,Bradley Center,20
16,Memphis Grizzlies,2006,0,13,28,30,20,5,6,8,30,30,18,24,23,27,25,20,28,22,10,8,8,7,27,15,1,2,6,5,6,2,5,6,7,6,4,25,16,9,14,10,18,29,9,17,1,7,7,5,5,6,14,5,16,2,30,14,3,8,18,21,20,4,3,20,10,FedEx Forum,26
1,San Antonio Spurs,2007,16,22,12,27,2,6,7,3,25,27,3,24,24,17,28,4,16,11,13,9,4,1,14,5,8,13,4,1,2,2,14,28,3,1,1,5,4,7,6,1,12,8,24,24,1,3,3,1,1,1,16,1,5,2,27,20,6,2,8,27,20,2,19,3,1,AT&T Center,9
2,Cleveland Cavaliers,2007,12,8,15,9,24,15,14,18,20,10,24,24,13,29,1,6,2,15,8,20,7,11,19,18,7,5,8,3,6,1,9,12,8,11,11,2,1,13,8,8,4,10,10,16,5,7,7,7,7,7,30,7,18,4,18,17,17,22,4,3,24,6,5,2,14,Quicken Loans Arena,3
3,Detroit Pistons,2007,10,8,18,17,20,22,19,26,17,13,18,18,22,7,10,22,18,12,17,1,1,4,21,18,5,5,6,4,4,3,7,15,6,7,9,5,25,9,16,8,3,1,19,28,2,4,4,6,6,6,28,6,6,7,30,22,19,21,1,11,18,4,15,25,10,The Palace of Auburn Hills,2
4,Utah Jazz,2007,9,20,6,18,2,26,26,29,1,4,6,4,2,20,2,16,7,2,20,22,20,30,7,10,5,1,11,16,15,13,2,1,13,30,30,27,3,2,1,3,24,25,16,1,17,6,6,8,8,8,10,8,3,18,15,2,26,11,17,1,3,13,13,4,30,EnergySolutions Arena,6
