Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,O_eFG%,O_TOV%,DRB%,O_FT/FGA,Arena,Attendance
14,Miami Heat,2018,1,2,19,23,17,10,9,15,22,22,14,26,25,22,21,11,17,17,17,6,16,20,23,29,4,5,7,6,5,13,8,16,7,24,22,26,6,18,15,3,12,9,18,21,4,15,15,16,16,16,27,16,22,7,26,24,7,14,17,17,24,7,13,6,27,AmericanAirlines Arena,6
15,San Antonio Spurs,2018,1,23,17,21,16,28,27,25,9,5,20,19,17,13,6,14,11,15,13,4,4,1,27,5,6,8,8,3,4,4,15,21,8,1,2,9,8,14,8,7,14,2,18,18,1,12,12,8,8,8,15,8,17,3,28,17,27,26,5,6,18,7,12,8,3,AT&T Center,12
16,Portland Trail Blazers,2018,0,18,15,8,19,16,19,11,17,11,23,15,17,3,9,5,3,30,25,7,8,12,16,9,7,16,3,7,5,16,11,23,2,18,18,4,10,16,13,2,9,21,29,23,5,7,7,9,9,9,15,9,15,8,19,19,18,23,6,10,17,4,29,5,17,Moda Center,8
1,Toronto Raptors,2019,16,4,9,15,5,8,11,6,17,22,7,15,21,3,24,9,17,13,6,9,14,17,8,25,9,16,5,9,10,8,9,23,5,10,11,13,18,8,13,13,17,6,10,19,9,2,2,2,2,3,29,3,5,5,14,20,10,3,15,21,14,4,9,14,9,Scotiabank Arena,4
2,Golden State Warriors,2019,14,15,1,12,1,3,8,3,11,22,2,23,28,5,21,3,11,1,14,1,21,21,2,14,10,24,3,16,24,10,6,20,4,24,24,23,21,4,10,12,19,1,17,26,16,3,3,2,2,2,18,2,1,12,10,28,8,1,18,16,23,3,20,14,21,Oracle Arena,6
3,Milwaukee Bucks,2019,10,18,3,6,3,2,2,14,16,27,1,12,15,14,25,1,1,7,16,2,13,5,1,8,12,30,1,30,30,22,3,17,1,1,4,1,8,20,15,19,2,12,21,21,11,1,1,1,1,1,30,1,4,1,2,17,3,2,9,27,15,1,25,1,1,Fiserv Forum,17
4,Portland Trail Blazers,2019,8,7,7,7,12,17,18,8,7,9,14,5,13,2,3,6,3,25,25,16,11,11,6,21,15,19,13,8,3,18,22,26,5,14,15,19,15,1,3,3,10,16,29,16,14,5,5,7,7,7,8,6,3,16,18,14,20,13,11,1,7,11,29,9,16,Moda Center,7
5,Philadelphia 76ers,2019,7,15,14,20,7,19,19,8,13,15,9,2,2,16,11,2,4,4,18,9,25,20,4,14,17,26,10,4,6,4,28,29,9,25,26,16,10,4,4,5,19,4,27,6,19,7,7,11,11,11,26,11,8,15,8,2,17,8,23,8,2,6,28,6,22,Wells Fargo Center,1
6,Denver Nuggets,2019,7,27,12,11,13,17,16,17,10,12,10,26,25,20,2,17,8,2,13,24,7,6,19,2,5,4,15,9,13,1,6,4,21,7,9,2,7,2,1,16,10,14,17,20,6,4,4,7,7,8,8,7,6,10,27,27,15,14,7,1,27,14,15,8,15,Pepsi Center,12
7,Houston Rockets,2019,6,11,25,25,24,1,1,10,30,30,3,3,7,9,14,28,28,28,5,18,6,24,11,17,10,5,19,3,3,2,20,13,23,21,20,16,22,10,16,7,10,6,8,23,10,5,5,5,5,5,13,5,2,17,26,6,1,4,9,14,3,18,7,28,25,Toyota Center,16
8,Boston Celtics,2019,5,18,10,8,14,6,7,7,18,18,10,28,29,4,20,16,22,5,4,9,3,11,14,8,4,9,4,15,22,6,5,5,11,13,15,11,16,22,22,8,2,2,7,26,8,9,9,6,6,6,27,8,10,7,16,30,9,6,4,24,28,8,7,17,17,TD Garden,11
9,San Antonio Spurs,2019,3,15,7,17,2,26,30,1,2,2,17,20,24,1,27,11,20,16,30,21,1,1,17,14,16,16,18,18,18,18,13,14,17,2,1,5,4,15,7,17,8,3,30,25,12,11,11,12,12,12,15,12,7,19,22,24,30,6,2,26,17,20,29,4,2,AT&T Center,13
10,Los Angeles Clippers,2019,2,11,16,24,7,24,28,2,7,6,22,1,1,7,21,8,13,18,23,21,22,28,5,17,17,25,13,6,7,5,28,28,11,28,28,24,27,10,18,11,25,30,23,1,25,11,11,13,13,13,10,13,9,20,7,1,27,11,20,19,1,8,27,25,27,STAPLES Center,20
11,Oklahoma City Thunder,2019,1,7,5,1,18,12,13,22,7,8,19,13,6,28,1,11,2,22,1,12,14,27,7,21,13,12,17,12,11,16,9,15,15,23,23,9,8,26,18,20,24,16,1,3,15,9,9,9,9,9,14,9,17,4,6,10,16,22,6,3,20,17,1,7,22,Chesapeake Energy Arena,15
12,Brooklyn Nets,2019,1,1,20,14,24,5,5,14,27,25,17,5,3,24,9,9,6,21,26,28,26,23,15,30,23,27,11,4,9,3,30,30,11,16,15,19,22,17,24,8,22,22,17,7,18,14,14,15,15,15,23,15,19,14,11,5,4,18,25,10,6,6,22,20,9,Barclays Center,30
13,Utah Jazz,2019,1,24,18,29,10,9,9,10,22,28,5,7,3,26,17,4,8,7,12,2,26,18,17,5,8,11,8,2,1,15,15,27,3,7,9,2,1,6,2,1,27,9,15,4,4,8,8,4,4,4,17,4,15,2,13,3,6,5,27,13,4,2,14,1,8,Vivint Smart Home Arena,14
14,Orlando Magic,2019,1,18,18,15,18,12,15,10,19,16,20,30,30,12,17,13,14,12,26,6,5,2,24,8,6,8,11,7,7,10,9,19,11,6,5,26,2,23,11,2,7,5,25,29,5,14,14,13,13,14,25,14,22,8,24,29,14,20,7,19,30,10,19,3,6,Amway Center,18
15,Indiana Pacers,2019,0,30,16,27,4,29,29,5,5,7,16,26,23,21,25,23,24,7,3,18,10,4,22,1,3,3,6,14,14,14,3,3,7,3,6,7,17,3,5,13,10,21,4,23,1,11,11,9,9,10,28,10,18,3,24,23,29,10,15,21,23,11,2,23,5,Bankers Life Fieldhouse,22
16,Detroit Pistons,2019,0,7,27,18,29,9,6,22,28,26,27,19,16,23,5,24,18,26,22,29,11,26,25,21,6,2,24,1,2,8,20,17,22,18,20,5,3,12,5,8,4,16,13,11,7,16,16,16,16,17,22,17,21,11,28,12,6,26,13,4,16,19,11,5,26,Little Caesars Arena,24
1,Los Angeles Lakers,2020,16,28,4,20,1,23,22,21,4,9,3,17,8,28,6,12,9,10,5,1,22,14,11,1,5,8,7,7,11,7,7,10,8,15,14,20,6,2,2,7,24,1,5,5,4,3,2,6,5,5,4,3,11,3,11,6,22,5,22,4,15,7,3,7,16,STAPLES Center,14
2,Miami Heat,2020,14,1,26,30,7,6,9,2,28,28,7,5,4,13,29,6,17,5,18,21,18,13,15,28,3,6,7,24,28,6,3,1,15,17,16,22,5,6,3,15,13,4,21,5,10,8,11,7,7,8,24,8,7,9,27,1,7,3,24,27,1,11,18,3,20,AmericanAirlines Arena,7
3,Boston Celtics,2020,10,10,12,11,16,12,13,12,16,16,17,10,16,5,6,10,8,25,6,5,7,20,9,19,2,8,4,10,16,2,4,6,7,20,19,9,18,8,11,2,8,23,9,15,2,5,5,2,2,3,26,5,4,4,17,18,14,16,6,6,12,4,9,16,22,TD Garden,11
4,Denver Nuggets,2020,9,1,8,15,4,23,26,15,5,5,6,25,26,16,4,22,20,4,9,19,7,11,18,28,11,5,15,12,14,17,10,8,18,10,11,5,12,1,4,24,9,8,17,17,11,6,6,11,12,11,11,10,5,16,29,26,27,9,8,2,24,17,14,19,14,Pepsi Center,6
5,Los Angeles Clippers,2020,7,17,10,14,12,13,16,6,13,14,17,1,1,8,6,3,3,22,24,17,13,26,4,11,6,20,3,17,27,5,6,12,2,19,19,3,25,13,17,9,13,13,19,1,13,4,4,2,2,2,12,2,2,5,8,2,16,9,10,9,2,3,23,15,17,STAPLES Center,12
6,Toronto Raptors,2020,7,17,21,23,19,3,6,5,27,26,20,12,16,6,24,6,10,11,2,13,16,21,13,11,1,13,2,24,29,1,1,2,2,14,15,12,26,19,24,26,9,23,2,19,1,2,2,2,2,4,20,4,14,2,11,12,6,8,18,24,9,2,2,21,15,Scotiabank Arena,5
7,Milwaukee Bucks,2020,5,22,1,4,2,3,4,17,8,23,1,14,6,27,24,1,1,5,23,3,20,7,1,4,4,30,1,30,30,15,2,13,1,8,7,25,8,27,21,11,12,9,19,5,8,1,1,1,1,1,28,1,8,1,1,7,4,1,14,26,15,1,24,1,6,Fiserv Forum,19
8,Houston Rockets,2020,5,17,16,8,22,1,1,24,30,30,2,2,2,8,20,16,18,29,3,10,15,23,2,11,24,25,14,13,22,7,24,22,20,16,17,8,28,29,30,23,21,15,3,12,22,8,7,8,7,7,13,7,6,14,2,4,1,7,10,25,4,14,5,25,13,Toyota Center,15
9,Utah Jazz,2020,3,22,22,29,6,6,10,1,25,27,5,16,19,14,26,8,13,26,29,25,20,12,18,4,15,17,12,3,3,12,22,28,10,7,8,9,9,3,5,1,19,10,29,14,9,8,7,8,7,9,17,9,10,13,24,10,8,2,25,21,11,8,28,6,7,Vivint Smart Home Arena,16
10,Oklahoma City Thunder,2020,3,10,23,28,7,26,27,17,11,15,9,4,5,6,30,15,23,28,16,15,6,4,21,19,16,19,10,5,10,2,20,20,13,4,3,30,22,10,12,5,4,2,18,2,6,8,7,11,10,12,8,11,16,7,22,3,25,18,9,30,3,8,18,19,3,Chesapeake Energy Arena,13
11,Dallas Mavericks,2020,2,8,9,9,16,2,2,10,26,28,4,10,10,14,10,4,4,13,29,16,2,6,3,22,21,26,13,17,20,10,22,24,13,5,6,7,19,17,19,10,4,4,30,9,16,12,13,5,6,6,18,6,1,18,18,12,2,4,1,10,13,13,30,14,4,American Airlines Center,1
12,Portland Trail Blazers,2020,1,22,5,3,14,10,15,3,11,7,24,17,23,3,16,12,12,30,28,2,3,21,6,4,20,26,11,29,26,29,12,19,4,21,23,14,30,21,27,19,1,15,27,21,26,14,15,16,21,19,3,16,3,27,13,24,17,14,1,15,19,15,27,27,18,Moda Center,8
13,Orlando Magic,2020,1,28,27,16,27,22,19,25,18,10,27,19,20,17,14,19,16,18,7,8,3,1,24,1,13,7,18,13,12,23,12,9,17,3,4,14,2,24,14,17,4,10,14,27,5,18,19,16,17,16,16,19,23,9,24,20,18,27,4,16,18,18,10,5,5,Amway Center,22
14,Brooklyn Nets,2020,0,5,18,9,24,9,5,25,22,22,15,15,9,25,9,2,2,15,27,21,24,16,16,26,18,29,5,13,16,9,16,28,5,12,13,12,24,20,22,3,16,21,28,10,18,14,14,15,15,15,25,20,22,9,9,11,5,23,18,10,17,5,29,11,9,Barclays Center,25
15,Philadelphia 76ers,2020,0,22,14,23,7,19,22,8,8,11,15,21,21,21,10,14,10,8,9,9,9,15,20,4,9,3,15,1,1,12,19,22,11,17,19,2,1,5,1,4,4,2,23,17,6,12,12,8,10,10,19,12,13,8,19,22,21,11,13,6,21,11,20,2,21,Wells Fargo Center,3
16,Indiana Pacers,2020,0,17,7,18,2,29,30,14,1,3,9,30,30,12,28,20,24,5,20,10,5,9,23,11,6,15,5,6,12,4,11,14,9,9,9,26,19,16,16,6,3,10,13,30,3,7,7,11,12,13,23,13,19,6,20,30,30,11,5,29,30,5,13,21,10,Bankers Life Fieldhouse,23
1,Milwaukee Bucks,2021,16,22,1,1,3,5,8,4,8,13,3,23,15,23,12,1,2,12,7,19,15,2,1,8,23,30,5,30,28,29,10,17,2,3,1,17,9,13,13,17,6,14,19,24,22,7,7,4,4,3,30,4,5,10,2,24,12,2,11,9,26,13,23,3,1,Fiserv Forum,10
2,Phoenix Suns,2021,14,1,2,16,2,12,15,7,8,16,2,28,29,2,28,17,23,3,19,25,4,14,6,28,11,9,15,6,10,5,17,15,17,12,13,14,6,10,8,3,5,1,17,28,7,2,2,2,2,4,23,3,5,9,26,29,15,3,4,24,26,10,16,9,14,Phoenix Suns Arena,4
3,Los Angeles Clippers,2021,10,30,12,25,5,6,14,1,19,21,18,23,28,1,20,14,16,16,20,28,7,17,10,1,8,6,13,6,7,6,14,12,14,10,9,13,5,1,1,3,7,5,22,26,4,5,5,2,2,2,24,2,3,7,28,27,13,3,14,12,19,7,18,6,10,STAPLES Center,24
4,Atlanta Hawks,2021,10,11,19,23,14,17,19,12,15,15,19,2,4,5,3,10,5,19,21,16,7,18,11,16,14,19,12,8,14,3,19,21,16,13,11,30,19,4,8,11,18,17,29,9,12,11,11,9,9,9,25,10,8,21,23,4,19,16,7,4,1,6,28,16,13,State Farm Arena,13
5,Brooklyn Nets,2021,7,11,6,21,1,7,12,2,13,22,1,5,8,6,27,5,13,5,27,6,12,13,2,16,19,25,6,22,23,13,16,22,6,16,14,11,26,3,12,8,14,9,26,18,21,4,4,7,7,7,27,7,1,22,11,8,9,1,14,19,5,7,28,20,12,Barclays Center,17
6,Philadelphia 76ers,2021,7,6,14,24,8,23,26,10,10,7,16,3,3,20,13,13,9,22,1,2,20,22,14,21,4,10,4,8,11,9,9,12,3,20,22,5,11,8,10,5,8,12,2,4,6,3,3,4,4,5,29,5,13,2,11,1,24,14,21,10,2,3,2,11,21,Wells Fargo Center,8
7,Utah Jazz,2021,6,19,15,18,14,1,1,4,30,30,8,11,14,8,3,2,1,22,29,8,18,8,4,10,12,27,2,1,3,2,25,29,1,2,2,7,11,5,7,1,18,3,30,17,3,1,1,1,1,1,28,1,3,4,18,13,1,5,19,3,10,1,30,5,2,Vivint Smart Home Arena,1
8,Denver Nuggets,2021,4,1,2,8,4,14,16,8,7,11,6,27,27,7,8,19,13,5,7,20,12,14,8,28,7,3,18,20,22,11,5,4,26,16,15,8,4,2,1,24,12,7,13,15,8,5,5,6,6,6,21,6,7,12,27,28,17,6,13,2,28,21,10,7,21,Ball Arena,14
9,Dallas Mavericks,2021,3,24,18,21,13,8,6,18,21,27,3,17,20,15,25,17,21,26,30,25,3,19,17,2,8,12,8,16,19,13,7,8,11,18,20,5,11,15,15,2,9,2,26,7,9,8,8,9,9,11,13,9,9,19,24,15,6,8,3,23,16,10,23,16,19,American Airlines Center,5
10,Portland Trail Blazers,2021,2,24,15,4,23,2,2,6,27,24,27,6,13,3,3,19,12,30,25,13,1,10,5,2,18,15,23,18,17,20,17,10,20,23,22,25,16,21,21,16,1,9,28,16,23,8,8,12,12,12,12,12,2,29,19,21,3,15,1,11,10,22,27,19,25,Moda Center,26
11,Los Angeles Lakers,2021,2,4,21,27,12,25,24,21,11,12,13,11,6,28,15,15,16,15,10,4,28,14,22,26,5,6,8,3,4,4,13,16,9,8,8,12,2,8,4,13,25,7,4,2,2,8,8,8,8,8,16,8,24,1,16,6,22,18,27,14,7,5,4,3,9,STAPLES Center,20
12,Washington Wizards,2021,1,11,5,5,10,28,29,22,1,2,14,1,1,19,15,5,8,12,18,28,20,30,3,16,28,28,20,12,13,19,28,28,14,28,29,18,25,23,24,12,25,14,10,1,30,17,17,21,21,22,13,22,17,19,1,3,29,20,16,20,3,15,15,18,28,Capital One Arena,21
13,Memphis Grizzlies,2021,1,11,7,1,18,24,23,20,4,3,20,19,17,18,2,8,4,3,1,10,10,9,15,16,13,16,11,18,18,18,12,10,11,20,15,27,11,20,18,19,18,20,7,24,16,15,15,14,14,15,10,15,15,6,8,25,27,22,6,6,25,12,7,10,16,FedEx Forum,11
14,Boston Celtics,2021,1,16,13,11,19,11,10,10,16,20,17,25,25,16,3,22,15,25,13,6,16,24,16,13,6,4,13,16,15,22,5,7,9,26,25,22,6,7,6,9,10,9,13,13,11,16,16,13,13,13,22,13,10,14,20,23,11,12,18,5,22,15,12,13,27,TD Garden,18
15,New York Knicks,2021,1,6,24,26,21,21,27,2,17,8,29,19,23,14,15,5,9,29,21,10,6,25,26,21,1,5,1,10,21,1,3,5,5,13,17,4,10,16,16,6,3,25,22,29,1,11,11,9,9,10,25,11,23,3,30,15,24,23,7,16,15,2,21,8,16,Madison Square Garden (IV),15
16,Miami Heat,2021,0,16,26,30,14,14,11,19,25,29,5,13,21,12,29,23,29,9,9,30,16,10,25,13,3,2,6,27,29,13,1,1,20,6,6,19,8,11,10,21,12,4,5,10,5,13,13,16,16,16,20,16,17,7,29,10,7,11,23,29,8,19,2,14,7,AmericanAirlines Arena,
1,Golden State Warriors,2022,16,24,17,21,8,3,3,7,22,29,3,26,26,17,18,2,7,5,3,18,29,27,15,2,2,9,2,15,20,1,2,8,2,19,24,5,6,7,5,2,20,2,8,29,3,3,3,4,4,5,17,4,17,1,13,23,2,3,29,18,22,2,7,2,22,Chase Center,10
2,Boston Celtics,2022,14,2,13,17,15,8,9,14,18,22,6,14,24,2,11,4,4,14,18,2,13,5,12,29,3,15,1,8,14,1,4,12,1,10,8,23,19,10,12,1,15,11,13,19,1,6,6,1,1,2,27,1,7,1,24,21,8,9,13,8,15,1,11,11,9,TD Garden,5
3,Miami Heat,2022,11,5,22,28,13,6,14,1,26,26,17,12,18,5,18,17,22,8,15,30,28,25,17,25,1,1,4,22,27,1,1,1,17,23,20,20,4,2,2,4,11,3,4,3,4,3,3,6,6,6,26,6,10,5,28,12,9,5,28,12,6,11,3,8,27,FTX Arena,4
4,Dallas Mavericks,2022,9,19,25,27,18,10,7,19,22,27,5,20,22,16,24,19,24,25,29,26,2,14,24,8,5,3,12,1,3,4,15,12,11,6,8,9,4,17,10,6,3,1,23,9,2,5,5,7,7,8,25,8,15,6,30,14,5,13,8,23,18,6,14,8,10,American Airlines Center,3
5,Milwaukee Bucks,2022,7,19,6,8,11,4,5,5,16,20,8,8,10,15,15,1,2,18,11,26,12,3,3,8,21,27,11,30,30,19,6,5,17,2,4,2,9,18,15,25,11,9,25,16,18,6,6,8,8,7,23,7,3,14,7,9,6,6,10,15,10,19,27,3,2,Fiserv Forum,11
6,Phoenix Suns,2022,7,24,1,6,1,20,26,7,1,3,4,24,27,7,18,4,8,4,5,22,7,18,5,2,7,16,3,4,10,4,10,21,3,17,23,6,19,13,19,2,15,3,6,24,8,1,1,1,1,1,30,2,4,3,8,29,27,4,5,19,26,3,7,13,15,Phoenix Suns Arena,19
7,Memphis Grizzlies,2022,6,13,2,1,18,23,23,16,2,1,23,14,7,28,1,8,1,6,1,1,9,17,2,13,11,17,10,11,12,11,17,22,7,17,19,12,11,7,7,16,7,29,3,14,12,2,2,4,4,4,28,5,5,4,3,19,28,23,4,1,23,10,4,10,15,FedEx Forum,21
8,Philadelphia 76ers,2022,6,8,23,30,15,20,27,7,16,16,21,1,3,1,30,19,28,20,9,6,2,12,18,19,9,8,13,2,6,9,17,16,11,12,13,11,12,15,17,7,1,11,18,19,8,6,6,9,9,10,19,9,12,12,25,2,22,16,5,29,1,11,16,17,13,Wells Fargo Center,2
9,Minnesota Timberwolves,2022,2,13,9,5,22,1,1,12,21,24,14,4,7,14,6,25,15,7,3,3,21,29,1,13,10,11,16,25,26,12,7,5,22,30,30,21,23,21,23,27,7,16,1,2,24,12,12,9,9,9,21,10,8,13,1,10,3,12,13,7,11,17,2,27,30,Target Center,20
10,Utah Jazz,2022,2,24,14,24,6,2,2,11,26,30,2,6,4,20,9,3,3,27,18,10,15,10,7,2,13,21,9,13,13,12,17,23,6,1,1,4,9,1,1,5,19,8,29,6,10,9,9,3,3,3,29,3,1,9,22,4,1,2,21,5,2,6,29,4,1,Vivint Smart Home Arena,9
11,Toronto Raptors,2022,2,5,14,4,25,19,19,20,13,5,28,23,21,23,2,29,8,29,2,16,2,13,20,25,5,2,17,16,14,18,5,4,19,13,11,26,16,12,14,20,2,25,2,23,7,10,10,11,11,12,12,11,14,9,27,24,23,27,2,2,25,17,1,23,20,Scotiabank Arena,30
12,New Orleans Pelicans,2022,2,19,19,16,22,28,24,27,8,7,20,2,6,10,3,24,11,12,7,26,17,14,21,8,11,4,23,22,18,26,8,5,24,13,12,24,1,4,3,15,11,16,9,4,13,20,20,21,21,21,8,21,19,20,21,5,24,24,15,3,2,26,7,7,17,Smoothie King Center,24
13,Atlanta Hawks,2022,1,30,11,13,7,11,18,2,14,13,17,3,11,4,17,17,18,15,18,23,1,7,6,1,24,19,23,20,17,25,21,16,21,6,4,27,12,11,13,22,3,10,26,6,21,16,16,14,14,14,16,14,2,26,20,11,18,8,1,15,5,24,28,14,8,State Farm Arena,17
14,Denver Nuggets,2022,1,8,7,23,2,13,13,16,11,21,1,19,23,8,25,9,17,3,18,29,24,20,10,19,18,11,21,8,10,9,23,12,28,11,14,3,6,5,4,22,20,16,26,12,14,10,10,11,11,11,24,12,6,15,19,20,14,1,26,20,16,20,23,4,12,Ball Arena,15
15,Chicago Bulls,2022,1,24,7,20,3,28,30,4,4,4,16,9,17,3,29,21,28,18,23,25,6,8,13,2,21,11,26,5,2,27,24,25,15,19,15,28,1,13,9,16,6,23,23,28,16,12,12,20,20,20,15,20,13,22,15,16,30,10,9,28,9,22,19,4,20,United Center,1
16,Brooklyn Nets,2022,0,19,5,12,4,23,28,10,5,6,15,9,14,6,14,14,13,10,23,5,17,22,9,8,15,24,7,17,22,7,16,19,9,26,25,25,27,6,15,9,20,20,18,16,18,14,14,15,15,15,14,15,11,18,11,18,25,11,15,10,11,6,23,25,22,Barclays Center,12
1,Denver Nuggets,2023,16,25,3,22,1,18,25,4,5,12,2,27,22,26,16,15,18,2,11,19,19,4,12,3,12,10,20,3,8,2,18,13,19,9,9,9,10,1,1,15,25,9,19,23,8,4,4,6,6,6,28,6,5,14,23,19,21,1,23,11,25,14,17,12,8,Ball Arena,7
2,Miami Heat,2023,13,18,30,26,26,16,10,27,27,25,20,10,19,2,20,29,27,25,5,30,9,3,30,10,3,2,21,28,22,21,1,1,29,4,3,15,1,15,5,14,8,1,3,16,2,11,11,21,21,21,6,19,25,8,29,13,9,25,14,20,8,25,2,4,7,Kaseya Center,5
3,Boston Celtics,2023,11,1,13,15,14,2,2,6,29,29,5,23,28,4,20,3,7,7,25,6,7,5,4,30,13,24,4,5,17,4,17,24,7,2,3,3,6,26,18,2,4,3,25,25,4,2,2,1,1,1,20,1,2,3,19,27,2,4,7,25,23,3,26,1,3,TD Garden,8
4,Los Angeles Lakers,2023,8,5,8,13,10,24,25,24,2,8,12,2,1,20,18,2,6,15,25,16,15,1,6,24,29,30,9,18,25,2,28,28,13,1,1,8,25,25,25,15,19,22,27,2,20,14,14,16,16,16,20,16,20,11,3,2,25,18,11,20,2,6,28,13,1,Crypto.com Arena,11
5,Philadelphia 76ers,2023,7,5,24,30,6,11,16,1,23,23,14,1,5,1,27,22,26,16,8,13,13,19,14,24,4,4,13,5,13,5,11,8,17,15,16,15,3,4,2,6,4,15,13,20,3,3,3,3,3,3,12,3,4,8,27,1,12,6,15,26,1,12,10,7,21,Wells Fargo Center,2
6,Golden State Warriors,2023,6,12,5,8,12,1,1,2,28,28,6,29,30,9,14,6,8,1,14,25,30,28,2,14,18,26,9,23,21,18,14,18,9,24,25,3,18,11,15,15,25,6,13,30,21,11,11,11,11,11,20,10,8,17,1,30,3,3,30,14,29,9,16,16,20,Chase Center,13
7,New York Knicks,2023,6,2,16,12,20,11,8,19,18,17,18,7,3,22,3,8,2,28,25,23,4,17,11,29,8,14,3,25,25,11,3,7,10,15,16,18,10,5,7,13,1,14,25,5,12,8,8,7,7,7,12,7,3,19,25,7,10,19,4,2,10,8,25,9,14,Madison Square Garden (IV),6
8,Phoenix Suns,2023,6,22,14,9,23,13,16,7,15,9,29,26,27,10,5,19,11,3,15,5,9,26,17,7,2,5,6,3,3,11,9,12,5,28,27,20,13,11,11,3,15,6,11,18,6,9,9,9,9,9,16,9,14,7,22,28,20,22,7,5,26,5,12,16,30,Footprint Center,24
9,Sacramento Kings,2023,3,12,3,16,2,5,6,9,16,24,1,3,5,12,23,15,20,3,20,29,9,11,1,14,27,19,29,18,13,25,27,19,23,10,10,21,6,9,9,28,16,9,15,4,25,7,7,8,8,8,30,8,1,25,12,9,5,2,7,22,6,26,13,7,10,Golden 1 Center,20
10,Atlanta Hawks,2023,2,8,1,3,9,24,28,21,1,1,16,16,20,3,9,12,10,18,15,11,3,5,3,20,27,24,25,8,16,10,29,25,21,18,13,30,17,20,19,22,18,20,15,19,25,17,17,16,16,18,15,17,7,22,9,26,30,19,2,8,22,22,15,19,12,State Farm Arena,18
11,Memphis Grizzlies,2023,2,22,2,4,14,16,11,22,6,5,16,23,12,30,4,4,2,9,2,2,12,13,8,7,6,21,1,25,27,9,3,11,3,15,14,21,23,19,21,26,7,24,6,16,11,5,5,4,4,4,29,5,14,2,4,19,15,21,6,6,27,2,8,18,12,FedEx Forum,22
12,Milwaukee Bucks,2023,1,12,10,6,18,4,4,10,25,26,11,28,22,28,11,1,1,12,25,11,21,2,8,14,20,29,2,11,18,8,18,30,1,3,2,10,18,20,20,5,8,3,30,26,14,1,1,5,5,5,17,4,12,4,10,25,4,10,16,9,28,1,30,2,2,Fiserv Forum,19
13,Minnesota Timberwolves,2023,1,12,8,18,3,13,15,13,11,16,4,18,14,23,26,18,23,8,5,4,26,29,12,14,13,18,11,16,10,24,14,19,6,27,29,1,27,18,22,10,29,8,5,14,18,15,15,19,19,20,24,21,23,10,7,12,14,8,28,27,18,9,7,26,26,Target Center,27
14,Los Angeles Clippers,2023,1,12,23,24,13,10,14,3,21,19,22,13,11,18,19,11,16,23,15,21,17,10,17,14,13,15,16,12,13,19,16,17,11,6,7,6,13,14,13,10,22,9,24,20,12,11,11,16,16,17,25,18,16,18,24,11,13,11,19,19,10,14,24,11,5,Crypto.com Arena,17
15,Cleveland Cavaliers,2023,1,5,20,27,5,19,24,11,14,17,8,23,21,19,20,24,25,19,15,13,6,9,25,24,1,3,7,2,1,23,5,10,4,7,8,18,9,3,2,1,8,13,3,10,1,5,5,2,2,2,20,2,8,1,30,16,17,9,11,17,17,6,3,13,14,Rocket Mortgage Fieldhouse,9
16,Brooklyn Nets,2023,0,29,21,28,6,9,13,5,20,22,8,19,25,7,29,20,28,13,15,1,13,25,19,1,10,17,4,7,4,21,13,23,2,19,23,2,28,22,27,3,8,3,18,28,8,9,9,15,15,15,6,14,16,13,21,18,11,7,16,29,15,4,17,28,18,Barclays Center,16
1,Boston Celtics,2024,16,7,4,8,7,1,1,2,27,30,2,18,25,7,13,1,2,14,26,1,1,2,2,22,13,25,2,14,23,4,12,23,2,1,1,3,26,10,14,5,1,1,29,30,5,1,1,1,1,1,29,1,1,3,20,24,1,1,2,12,21,2,29,11,1,TD Garden,10
2,Dallas Mavericks,2024,13,26,8,10,11,3,2,13,22,29,4,14,11,27,23,12,21,19,24,15,4,10,7,1,20,21,20,18,18,18,20,21,17,11,14,4,18,25,25,22,16,2,15,2,20,6,6,14,14,14,11,13,9,17,5,11,2,7,4,24,16,17,17,19,10,American Airlines Center,2
3,Minnesota Timberwolves,2024,9,10,22,29,10,15,23,3,21,22,16,11,8,18,24,5,15,15,6,4,22,17,18,15,1,6,1,3,4,6,5,19,1,16,19,14,9,5,4,3,18,4,6,3,1,4,4,3,3,3,19,3,16,1,24,4,17,10,23,21,7,1,5,6,21,Target Center,18
4,Indiana Pacers,2024,8,26,1,1,1,10,15,9,1,2,1,21,22,13,19,28,28,1,10,8,9,30,1,1,25,19,29,1,1,16,30,30,24,30,30,17,22,11,15,4,4,21,11,19,27,12,12,10,10,9,24,10,2,24,2,26,20,1,6,19,24,22,17,26,30,Gainbridge Fieldhouse,29
5,Denver Nuggets,2024,7,26,3,17,4,25,30,9,2,1,7,29,29,25,13,9,7,3,21,9,5,9,14,1,8,13,4,2,2,8,18,26,4,16,20,6,18,7,7,9,9,11,26,24,6,2,2,4,4,4,17,4,5,8,27,24,30,7,8,6,28,3,26,17,17,Ball Arena,6
